NCBI GeneID,Symbol,Description,Taxonomic Name,Gene Type,Ensembl GeneIDs
3105,HLA-A,"major histocompatibility complex, class I, A",Homo sapiens,PROTEIN_CODING,ENSG00000206503
472,ATM,ATM serine/threonine kinase,Homo sapiens,PROTEIN_CODING,ENSG00000149311
6387,CXCL12,C-X-C motif chemokine ligand 12,Homo sapiens,PROTEIN_CODING,ENSG00000107562
1813,DRD2,dopamine receptor D2,Homo sapiens,PROTEIN_CODING,ENSG00000149295
2153,F5,coagulation factor V,Homo sapiens,PROTEIN_CODING,ENSG00000198734
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",Homo sapiens,PROTEIN_CODING,ENSG00000179344
3815,KIT,"KIT proto-oncogene, receptor tyrosine kinase",Homo sapiens,PROTEIN_CODING,ENSG00000157404
2908,NR3C1,nuclear receptor subfamily 3 group C member 1,Homo sapiens,PROTEIN_CODING,ENSG00000113580
3077,HFE,homeostatic iron regulator,Homo sapiens,PROTEIN_CODING,ENSG00000010704
2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,Homo sapiens,PROTEIN_CODING,ENSG00000106462
7515,XRCC1,X-ray repair cross complementing 1,Homo sapiens,PROTEIN_CODING,ENSG00000073050
3162,HMOX1,heme oxygenase 1,Homo sapiens,PROTEIN_CODING,ENSG00000100292
1565,CYP2D6,cytochrome P450 family 2 subfamily D member 6,Homo sapiens,PROTEIN_CODING,ENSG00000100197
3383,ICAM1,intercellular adhesion molecule 1,Homo sapiens,PROTEIN_CODING,ENSG00000090339
5970,RELA,"RELA proto-oncogene, NF-kB subunit",Homo sapiens,PROTEIN_CODING,ENSG00000173039
6696,SPP1,secreted phosphoprotein 1,Homo sapiens,PROTEIN_CODING,ENSG00000118785
1557,CYP2C19,cytochrome P450 family 2 subfamily C member 19,Homo sapiens,PROTEIN_CODING,ENSG00000165841
50943,FOXP3,forkhead box P3,Homo sapiens,PROTEIN_CODING,ENSG00000049768
154,ADRB2,adrenoceptor beta 2,Homo sapiens,PROTEIN_CODING,ENSG00000169252
2100,ESR2,estrogen receptor 2,Homo sapiens,PROTEIN_CODING,ENSG00000140009
3606,IL18,interleukin 18,Homo sapiens,PROTEIN_CODING,ENSG00000150782
120892,LRRK2,leucine rich repeat kinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000188906
355,FAS,Fas cell surface death receptor,Homo sapiens,PROTEIN_CODING,ENSG00000026103
2932,GSK3B,glycogen synthase kinase 3 beta,Homo sapiens,PROTEIN_CODING,ENSG00000082701
3135,HLA-G,"major histocompatibility complex, class I, G",Homo sapiens,PROTEIN_CODING,ENSG00000204632
5925,RB1,RB transcriptional corepressor 1,Homo sapiens,PROTEIN_CODING,ENSG00000139687
1432,MAPK14,mitogen-activated protein kinase 14,Homo sapiens,PROTEIN_CODING,ENSG00000112062
3565,IL4,interleukin 4,Homo sapiens,PROTEIN_CODING,ENSG00000113520
5133,PDCD1,programmed cell death 1,Homo sapiens,PROTEIN_CODING,ENSG00000188389
3480,IGF1R,insulin like growth factor 1 receptor,Homo sapiens,PROTEIN_CODING,ENSG00000140443
7450,VWF,von Willebrand factor,Homo sapiens,PROTEIN_CODING,ENSG00000110799
142,PARP1,poly(ADP-ribose) polymerase 1,Homo sapiens,PROTEIN_CODING,ENSG00000143799
335,APOA1,apolipoprotein A1,Homo sapiens,PROTEIN_CODING,ENSG00000118137
177,AGER,advanced glycosylation end-product specific receptor,Homo sapiens,PROTEIN_CODING,ENSG00000204305
183,AGT,angiotensinogen,Homo sapiens,PROTEIN_CODING,ENSG00000135744
5979,RET,ret proto-oncogene,Homo sapiens,PROTEIN_CODING,ENSG00000165731
6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",Homo sapiens,PROTEIN_CODING,ENSG00000197122
857,CAV1,caveolin 1,Homo sapiens,PROTEIN_CODING,ENSG00000105974
51738,GHRL,ghrelin and obestatin prepropeptide,Homo sapiens,PROTEIN_CODING,ENSG00000157017
2706,GJB2,gap junction protein beta 2,Homo sapiens,PROTEIN_CODING,ENSG00000165474
3688,ITGB1,integrin subunit beta 1,Homo sapiens,PROTEIN_CODING,ENSG00000150093
79068,FTO,FTO alpha-ketoglutarate dependent dioxygenase,Homo sapiens,PROTEIN_CODING,ENSG00000140718
10413,YAP1,Yes1 associated transcriptional regulator,Homo sapiens,PROTEIN_CODING,ENSG00000137693
3690,ITGB3,integrin subunit beta 3,Homo sapiens,PROTEIN_CODING,ENSG00000259207
4292,MLH1,mutL homolog 1,Homo sapiens,PROTEIN_CODING,ENSG00000076242
64127,NOD2,nucleotide binding oligomerization domain containing 2,Homo sapiens,PROTEIN_CODING,ENSG00000167207
836,CASP3,caspase 3,Homo sapiens,PROTEIN_CODING,ENSG00000164305
3630,INS,insulin,Homo sapiens,PROTEIN_CODING,ENSG00000254647
5621,PRNP,prion protein,Homo sapiens,PROTEIN_CODING,ENSG00000171867
1543,CYP1A1,cytochrome P450 family 1 subfamily A member 1,Homo sapiens,PROTEIN_CODING,ENSG00000140465
3958,LGALS3,galectin 3,Homo sapiens,PROTEIN_CODING,ENSG00000131981
4582,MUC1,"mucin 1, cell surface associated",Homo sapiens,PROTEIN_CODING,ENSG00000185499
1906,EDN1,endothelin 1,Homo sapiens,PROTEIN_CODING,ENSG00000078401
6648,SOD2,superoxide dismutase 2,Homo sapiens,PROTEIN_CODING,ENSG00000291237
6667,SP1,Sp1 transcription factor,Homo sapiens,PROTEIN_CODING,ENSG00000185591
9429,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),Homo sapiens,PROTEIN_CODING,ENSG00000118777
3934,LCN2,lipocalin 2,Homo sapiens,PROTEIN_CODING,ENSG00000148346
4153,MBL2,mannose binding lectin 2,Homo sapiens,PROTEIN_CODING,ENSG00000165471
5879,RAC1,Rac family small GTPase 1,Homo sapiens,PROTEIN_CODING,ENSG00000136238
3043,HBB,hemoglobin subunit beta,Homo sapiens,PROTEIN_CODING,ENSG00000244734
4312,MMP1,matrix metallopeptidase 1,Homo sapiens,PROTEIN_CODING,ENSG00000196611
6531,SLC6A3,solute carrier family 6 member 3,Homo sapiens,PROTEIN_CODING,ENSG00000142319
1027,CDKN1B,cyclin dependent kinase inhibitor 1B,Homo sapiens,PROTEIN_CODING,ENSG00000111276
1559,CYP2C9,cytochrome P450 family 2 subfamily C member 9,Homo sapiens,PROTEIN_CODING,ENSG00000138109
324,APC,APC regulator of WNT signaling pathway,Homo sapiens,PROTEIN_CODING,ENSG00000134982
5595,MAPK3,mitogen-activated protein kinase 3,Homo sapiens,PROTEIN_CODING,ENSG00000102882
8626,TP63,tumor protein p63,Homo sapiens,PROTEIN_CODING,ENSG00000073282
114548,NLRP3,NLR family pyrin domain containing 3,Homo sapiens,PROTEIN_CODING,ENSG00000162711
185,AGTR1,angiotensin II receptor type 1,Homo sapiens,PROTEIN_CODING,ENSG00000144891
3075,CFH,complement factor H,Homo sapiens,PROTEIN_CODING,ENSG00000000971
3725,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",Homo sapiens,PROTEIN_CODING,ENSG00000177606
3791,KDR,kinase insert domain receptor,Homo sapiens,PROTEIN_CODING,ENSG00000128052
4000,LMNA,lamin A/C,Homo sapiens,PROTEIN_CODING,ENSG00000160789
8743,TNFSF10,TNF superfamily member 10,Homo sapiens,PROTEIN_CODING,ENSG00000121858
3557,IL1RN,interleukin 1 receptor antagonist,Homo sapiens,PROTEIN_CODING,ENSG00000136689
1576,CYP3A4,cytochrome P450 family 3 subfamily A member 4,Homo sapiens,PROTEIN_CODING,ENSG00000160868
338,APOB,apolipoprotein B,Homo sapiens,PROTEIN_CODING,ENSG00000084674
581,BAX,"BCL2 associated X, apoptosis regulator",Homo sapiens,PROTEIN_CODING,ENSG00000087088
4282,MIF,macrophage migration inhibitory factor,Homo sapiens,PROTEIN_CODING,ENSG00000240972
3417,IDH1,isocitrate dehydrogenase (NADP(+)) 1,Homo sapiens,PROTEIN_CODING,ENSG00000138413
1588,CYP19A1,cytochrome P450 family 19 subfamily A member 1,Homo sapiens,PROTEIN_CODING,ENSG00000137869
238,ALK,ALK receptor tyrosine kinase,Homo sapiens,PROTEIN_CODING,ENSG00000171094
3949,LDLR,low density lipoprotein receptor,Homo sapiens,PROTEIN_CODING,ENSG00000130164
4255,MGMT,O-6-methylguanine-DNA methyltransferase,Homo sapiens,PROTEIN_CODING,ENSG00000170430
5747,PTK2,protein tyrosine kinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000169398
387,RHOA,ras homolog family member A,Homo sapiens,PROTEIN_CODING,ENSG00000067560
5071,PRKN,parkin RBR E3 ubiquitin protein ligase,Homo sapiens,PROTEIN_CODING,ENSG00000185345
2322,FLT3,fms related receptor tyrosine kinase 3,Homo sapiens,PROTEIN_CODING,ENSG00000122025
23435,TARDBP,TAR DNA binding protein,Homo sapiens,PROTEIN_CODING,ENSG00000120948
4288,MKI67,marker of proliferation Ki-67,Homo sapiens,PROTEIN_CODING,ENSG00000148773
5663,PSEN1,presenilin 1,Homo sapiens,PROTEIN_CODING,ENSG00000080815
2332,FMR1,fragile X messenger ribonucleoprotein 1,Homo sapiens,PROTEIN_CODING,ENSG00000102081
3107,HLA-C,"major histocompatibility complex, class I, C",Homo sapiens,PROTEIN_CODING,ENSG00000204525
4982,TNFRSF11B,TNF receptor superfamily member 11b,Homo sapiens,PROTEIN_CODING,ENSG00000164761
54658,UGT1A1,UDP glucuronosyltransferase family 1 member A1,Homo sapiens,PROTEIN_CODING,ENSG00000241635
2033,EP300,E1A binding protein p300,Homo sapiens,PROTEIN_CODING,ENSG00000100393
3082,HGF,hepatocyte growth factor,Homo sapiens,PROTEIN_CODING,ENSG00000019991
6772,STAT1,signal transducer and activator of transcription 1,Homo sapiens,PROTEIN_CODING,ENSG00000115415
7490,WT1,WT1 transcription factor,Homo sapiens,PROTEIN_CODING,ENSG00000184937
929,CD14,CD14 molecule,Homo sapiens,PROTEIN_CODING,ENSG00000170458
19,ABCA1,ATP binding cassette subfamily A member 1,Homo sapiens,PROTEIN_CODING,ENSG00000165029
4869,NPM1,nucleophosmin 1,Homo sapiens,PROTEIN_CODING,ENSG00000181163
6331,SCN5A,sodium voltage-gated channel alpha subunit 5,Homo sapiens,PROTEIN_CODING,ENSG00000183873
1277,COL1A1,collagen type I alpha 1 chain,Homo sapiens,PROTEIN_CODING,ENSG00000108821
2157,F8,coagulation factor VIII,Homo sapiens,PROTEIN_CODING,ENSG00000185010
4843,NOS2,nitric oxide synthase 2,Homo sapiens,PROTEIN_CODING,ENSG00000007171
6934,TCF7L2,transcription factor 7 like 2,Homo sapiens,PROTEIN_CODING,ENSG00000148737
7428,VHL,von Hippel-Lindau tumor suppressor,Homo sapiens,PROTEIN_CODING,ENSG00000134086
2247,FGF2,fibroblast growth factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000138685
59272,ACE2,angiotensin converting enzyme 2,Homo sapiens,PROTEIN_CODING,ENSG00000130234
7276,TTR,transthyretin,Homo sapiens,PROTEIN_CODING,ENSG00000118271
861,RUNX1,RUNX family transcription factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000159216
282617,IFNL3,interferon lambda 3,Homo sapiens,PROTEIN_CODING,ENSG00000197110
3320,HSP90AA1,heat shock protein 90 alpha family class A member 1,Homo sapiens,PROTEIN_CODING,ENSG00000080824
3552,IL1A,interleukin 1 alpha,Homo sapiens,PROTEIN_CODING,ENSG00000115008
3757,KCNH2,potassium voltage-gated channel subfamily H member 2,Homo sapiens,PROTEIN_CODING,ENSG00000055118
4204,MECP2,methyl-CpG binding protein 2,Homo sapiens,PROTEIN_CODING,ENSG00000169057
2335,FN1,fibronectin 1,Homo sapiens,PROTEIN_CODING,ENSG00000115414
4023,LPL,lipoprotein lipase,Homo sapiens,PROTEIN_CODING,ENSG00000175445
5265,SERPINA1,serpin family A member 1,Homo sapiens,PROTEIN_CODING,ENSG00000197249
1815,DRD4,dopamine receptor D4,Homo sapiens,PROTEIN_CODING,ENSG00000069696
2068,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",Homo sapiens,PROTEIN_CODING,ENSG00000104884
213,ALB,albumin,Homo sapiens,PROTEIN_CODING,ENSG00000163631
3039,HBA1,hemoglobin subunit alpha 1,Homo sapiens,PROTEIN_CODING,ENSG00000206172
3064,HTT,huntingtin,Homo sapiens,PROTEIN_CODING,ENSG00000197386
3356,HTR2A,5-hydroxytryptamine receptor 2A,Homo sapiens,PROTEIN_CODING,ENSG00000102468
54106,TLR9,toll like receptor 9,Homo sapiens,PROTEIN_CODING,ENSG00000239732
217,ALDH2,aldehyde dehydrogenase 2 family member,Homo sapiens,PROTEIN_CODING,ENSG00000111275
5241,PGR,progesterone receptor,Homo sapiens,PROTEIN_CODING,ENSG00000082175
10,NAT2,N-acetyltransferase 2,Homo sapiens,PROTEIN_CODING,ENSG00000156006
1071,CETP,cholesteryl ester transfer protein,Homo sapiens,PROTEIN_CODING,ENSG00000087237
2697,GJA1,gap junction protein alpha 1,Homo sapiens,PROTEIN_CODING,ENSG00000152661
3558,IL2,interleukin 2,Homo sapiens,PROTEIN_CODING,ENSG00000109471
5599,MAPK8,mitogen-activated protein kinase 8,Homo sapiens,PROTEIN_CODING,ENSG00000107643
5781,PTPN11,protein tyrosine phosphatase non-receptor type 11,Homo sapiens,PROTEIN_CODING,ENSG00000179295
841,CASP8,caspase 8,Homo sapiens,PROTEIN_CODING,ENSG00000064012
1471,CST3,cystatin C,Homo sapiens,PROTEIN_CODING,ENSG00000101439
2321,FLT1,fms related receptor tyrosine kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000102755
5578,PRKCA,protein kinase C alpha,Homo sapiens,PROTEIN_CODING,ENSG00000154229
7316,UBC,ubiquitin C,Homo sapiens,PROTEIN_CODING,ENSG00000150991
10891,PPARGC1A,PPARG coactivator 1 alpha,Homo sapiens,PROTEIN_CODING,ENSG00000109819
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Homo sapiens,PROTEIN_CODING,ENSG00000097007
255738,PCSK9,proprotein convertase subtilisin/kexin type 9,Homo sapiens,PROTEIN_CODING,ENSG00000169174
3065,HDAC1,histone deacetylase 1,Homo sapiens,PROTEIN_CODING,ENSG00000116478
3265,HRAS,"HRas proto-oncogene, GTPase",Homo sapiens,PROTEIN_CODING,ENSG00000174775
3309,HSPA5,heat shock protein family A (Hsp70) member 5,Homo sapiens,PROTEIN_CODING,ENSG00000044574
4436,MSH2,mutS homolog 2,Homo sapiens,PROTEIN_CODING,ENSG00000095002
6790,AURKA,aurora kinase A,Homo sapiens,PROTEIN_CODING,ENSG00000087586
8074,FGF23,fibroblast growth factor 23,Homo sapiens,PROTEIN_CODING,ENSG00000118972
1869,E2F1,E2F transcription factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000101412
1950,EGF,epidermal growth factor,Homo sapiens,PROTEIN_CODING,ENSG00000138798
2067,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",Homo sapiens,PROTEIN_CODING,ENSG00000012061
4314,MMP3,matrix metallopeptidase 3,Homo sapiens,PROTEIN_CODING,ENSG00000149968
4353,MPO,myeloperoxidase,Homo sapiens,PROTEIN_CODING,ENSG00000005381
56729,RETN,resistin,Homo sapiens,PROTEIN_CODING,ENSG00000104918
6513,SLC2A1,solute carrier family 2 member 1,Homo sapiens,PROTEIN_CODING,ENSG00000117394
2152,F3,"coagulation factor III, tissue factor",Homo sapiens,PROTEIN_CODING,ENSG00000117525
3481,IGF2,insulin like growth factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000167244
3627,CXCL10,C-X-C motif chemokine ligand 10,Homo sapiens,PROTEIN_CODING,ENSG00000169245
3953,LEPR,leptin receptor,Homo sapiens,PROTEIN_CODING,ENSG00000116678
4128,MAOA,monoamine oxidase A,Homo sapiens,PROTEIN_CODING,ENSG00000189221
4170,MCL1,"MCL1 apoptosis regulator, BCL2 family member",Homo sapiens,PROTEIN_CODING,ENSG00000143384
4988,OPRM1,opioid receptor mu 1,Homo sapiens,PROTEIN_CODING,ENSG00000112038
6352,CCL5,C-C motif chemokine ligand 5,Homo sapiens,PROTEIN_CODING,ENSG00000271503
1577,CYP3A5,cytochrome P450 family 3 subfamily A member 5,Homo sapiens,PROTEIN_CODING,ENSG00000106258
196,AHR,aryl hydrocarbon receptor,Homo sapiens,PROTEIN_CODING,ENSG00000106546
2263,FGFR2,fibroblast growth factor receptor 2,Homo sapiens,PROTEIN_CODING,ENSG00000066468
3486,IGFBP3,insulin like growth factor binding protein 3,Homo sapiens,PROTEIN_CODING,ENSG00000146674
4089,SMAD4,SMAD family member 4,Homo sapiens,PROTEIN_CODING,ENSG00000141646
5347,PLK1,polo like kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000166851
650,BMP2,bone morphogenetic protein 2,Homo sapiens,PROTEIN_CODING,ENSG00000125845
6657,SOX2,SRY-box transcription factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000181449
8842,PROM1,prominin 1,Homo sapiens,PROTEIN_CODING,ENSG00000007062
328,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,Homo sapiens,PROTEIN_CODING,ENSG00000100823
3643,INSR,insulin receptor,Homo sapiens,PROTEIN_CODING,ENSG00000171105
4968,OGG1,8-oxoguanine DNA glycosylase,Homo sapiens,PROTEIN_CODING,ENSG00000114026
682,BSG,basigin (Ok blood group),Homo sapiens,PROTEIN_CODING,ENSG00000172270
7098,TLR3,toll like receptor 3,Homo sapiens,PROTEIN_CODING,ENSG00000164342
7132,TNFRSF1A,TNF receptor superfamily member 1A,Homo sapiens,PROTEIN_CODING,ENSG00000067182
7291,TWIST1,twist family bHLH transcription factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000122691
8600,TNFSF11,TNF superfamily member 11,Homo sapiens,PROTEIN_CODING,ENSG00000120659
983,CDK1,cyclin dependent kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000170312
10135,NAMPT,nicotinamide phosphoribosyltransferase,Homo sapiens,PROTEIN_CODING,ENSG00000105835
2309,FOXO3,forkhead box O3,Homo sapiens,PROTEIN_CODING,ENSG00000118689
4088,SMAD3,SMAD family member 3,Homo sapiens,PROTEIN_CODING,ENSG00000166949
5460,POU5F1,POU class 5 homeobox 1,Homo sapiens,PROTEIN_CODING,ENSG00000204531
5888,RAD51,RAD51 recombinase,Homo sapiens,PROTEIN_CODING,ENSG00000051180
2260,FGFR1,fibroblast growth factor receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000077782
2261,FGFR3,fibroblast growth factor receptor 3,Homo sapiens,PROTEIN_CODING,ENSG00000068078
3784,KCNQ1,potassium voltage-gated channel subfamily Q member 1,Homo sapiens,PROTEIN_CODING,ENSG00000053918
7161,TP73,tumor protein p73,Homo sapiens,PROTEIN_CODING,ENSG00000078900
718,C3,complement C3,Homo sapiens,PROTEIN_CODING,ENSG00000125730
1387,CREBBP,CREB binding protein,Homo sapiens,PROTEIN_CODING,ENSG00000005339
1756,DMD,dystrophin,Homo sapiens,PROTEIN_CODING,ENSG00000198947
356,FASLG,Fas ligand,Homo sapiens,PROTEIN_CODING,ENSG00000117560
5329,PLAUR,"plasminogen activator, urokinase receptor",Homo sapiens,PROTEIN_CODING,ENSG00000011422
7076,TIMP1,TIMP metallopeptidase inhibitor 1,Homo sapiens,PROTEIN_CODING,ENSG00000102265
90865,IL33,interleukin 33,Homo sapiens,PROTEIN_CODING,ENSG00000137033
1490,CCN2,cellular communication network factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000118523
